DRCOV VERSION: 3
DRCOV FLAVOR: drcov
Module Table: version 5, count 56
Columns: id, containing_id, start, end, entry, offset, preferred_base, checksum, timestamp, path
  0,   0, 0x0000000071000000, 0x00000000711c0000, 0x00000000710a2e70, 0000000000000000, 0x0000000071000000, 0x0019203b, 0x620aa6ec,  C:\ProjectA\DynamoRIO-Windows-9.0.1\lib64\release\dynamorio.dll
  1,   1, 0x00007ff5cda80000, 0x00007ff5cda86000, 0x00007ff5cda80000, 0000000000000000, 0x0000000072000000, 0x0000ab8b, 0x620aa777,  C:\ProjectA\DynamoRIO-Windows-9.0.1\tools\lib64\release\drcov.dll
  2,   2, 0x00007ff5cda90000, 0x00007ff5cda99000, 0x00007ff5cda90000, 0000000000000000, 0x0000000073800000, 0x0001401b, 0x620aa776,  C:\ProjectA\DynamoRIO-Windows-9.0.1\ext\lib64\release/drcovlib.dll
  3,   3, 0x00007ff5cdaa0000, 0x00007ff5cdaaf000, 0x00007ff5cdaa0000, 0000000000000000, 0x0000000077000000, 0x000149e8, 0x620aa772,  C:\ProjectA\DynamoRIO-Windows-9.0.1\ext\lib64\release/drx.dll
  4,   4, 0x00007ff5cdab0000, 0x00007ff5cdabb000, 0x00007ff5cdab0000, 0000000000000000, 0x0000000078000000, 0x0001746d, 0x620aa761,  C:\ProjectA\DynamoRIO-Windows-9.0.1\ext\lib64\release/drreg.dll
  5,   5, 0x00007ff5cdac0000, 0x00007ff5cdad0000, 0x00007ff5cdac0000, 0000000000000000, 0x0000000073000000, 0x00014cc5, 0x620aa75e,  C:\ProjectA\DynamoRIO-Windows-9.0.1\ext\lib64\release/drmgr.dll
  6,   6, 0x00007ff62da50000, 0x00007ff62da76000, 0x00007ff62da51429, 0000000000000000, 0x00007ff62da50000, 0x00000000, 0x649091d7,  C:\ProjectA\TestApp\debug\TestApp.exe
  7,   7, 0x00007fff4fc10000, 0x00007fff51332000, 0x00007fff4fc126ee, 0000000000000000, 0x00007fff4fc10000, 0x0171436e, 0x6469b144,  C:\ProjectA\TestApp\debug\Qt6Guid.dll
  8,   8, 0x00007fff51340000, 0x00007fff522c2000, 0x00007fff5134202c, 0000000000000000, 0x00007fff51340000, 0x00f81da9, 0x6469b20f,  C:\ProjectA\TestApp\debug\Qt6Widgetsd.dll
  9,   9, 0x00007fff6b740000, 0x00007fff6b907000, 0x00007fff6b769e20, 0000000000000000, 0x00007fff6b740000, 0x001ca813, 0xb8b20920,  C:\Windows\SYSTEM32\ucrtbased.dll
 10,  10, 0x00007fff6b910000, 0x00007fff6c80c000, 0x00007fff6b911cc6, 0000000000000000, 0x00007fff6b910000, 0x00efdcfa, 0x6469b04d,  C:\ProjectA\TestApp\debug\Qt6Cored.dll
 11,  11, 0x00007fff8c2f0000, 0x00007fff8c3d3000, 0x00007fff8c379f40, 0000000000000000, 0x00007fff8c2f0000, 0x000f08ef, 0x61b17c25,  C:\Windows\SYSTEM32\MSVCP140D.dll
 12,  12, 0x00007fff91c40000, 0x00007fff91ca0000, 0x00007fff91c83520, 0000000000000000, 0x00007fff91c40000, 0x00064510, 0x61b17c26,  C:\Windows\SYSTEM32\MSVCP140_2D.dll
 13,  13, 0x00007fffb46e0000, 0x00007fffb470b000, 0x00007fffb46fe420, 0000000000000000, 0x00007fffb46e0000, 0x0002aedb, 0x61b17c25,  C:\Windows\SYSTEM32\VCRUNTIME140D.dll
 14,  14, 0x00007fffc7f00000, 0x00007fffc7f0a000, 0x00007fffc7f01a10, 0000000000000000, 0x00007fffc7f00000, 0x00015ec5, 0x61b17c26,  C:\Windows\SYSTEM32\MSVCP140_1D.dll
 15,  15, 0x00007fffc9840000, 0x00007fffc984f000, 0x00007fffc9846e20, 0000000000000000, 0x00007fffc9840000, 0x00012bce, 0x61b17c29,  C:\Windows\SYSTEM32\VCRUNTIME140_1D.dll
 16,  16, 0x00007fffcb080000, 0x00007fffcb2ff000, 0x00007fffcb117bc0, 0000000000000000, 0x00007fffcb080000, 0x00281c48, 0x29a9e8ad,  C:\Windows\SYSTEM32\DWrite.dll
